id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,new_balance,highest_balance,model
54992395,4,1286.1657435613404,2,91000.0,2,8,-1,107,3,60018,1.0,0,0,0,0,12,6,85789.7012195122,0.0,32700.0,xgb
54985261,7,1354.0,1,187000.0,2,11,-1,114,5,340018,207.3644135,0,0,0,0,4,7,85789.7012195122,0.0,95900.0,xgb
58994346,7,1298.0,1,100000.0,2,11,9,112,4,552104,178.8854382,0,0,0,0,1,10,85789.7012195122,0.0,77688.0,xgb
54992408,4,1314.0,1,53000.0,2,8,5,103,5,151300,187.5393292,0,0,0,0,23,10,68200.0,11928.0,59293.0,xgb
59004621,4,1288.0,3,110000.0,2,8,9,80,5,151300,1.0,0,0,0,0,2,10,132000.0,3708.0,3590.0,xgb
58988853,7,1290.0,3,116000.0,1,11,5,109,4,60062,196.4942747,0,0,0,0,36,10,11000.0,3099.6,12392.0,xgb
58986294,5,1286.0,1,99000.0,2,15,-1,87,5,60000,1.0,0,0,0,0,10,6,85789.7012195122,4608.0,19700.0,xgb
58982668,5,1316.0,3,500000.0,2,15,5,104,5,72000,316.22776600000003,0,0,0,0,13,10,85789.7012195122,220.8,6218.0,xgb
54987545,7,1212.0,3,61000.0,2,11,5,112,4,450031,187.08286930000003,2,2,0,181,31,10,17600.0,-57.6,24222.0,xgb
58987142,5,1310.0,1,500000.0,2,15,5,103,5,452306,244.94897430000003,0,0,0,0,17,10,85789.7012195122,0.0,18054.0,xgb
58985693,5,1286.1657435613404,3,227000.0,2,15,-1,110,4,450080,183.0300522,2,4,18,6671,11,5,85789.7012195122,0.0,215400.0,xgb
58983073,5,1229.0,3,100000.0,2,15,5,102,5,60060,178.8854382,0,0,0,0,36,10,85789.7012195122,0.0,40796.0,xgb
58991580,7,1252.0,3,103000.0,1,11,5,102,5,60095,173.20508080000002,0,0,0,0,9,10,85789.7012195122,2398.8,33021.0,xgb
54991404,4,1278.0,1,201000.0,2,8,5,102,5,72000,1.0,0,0,0,0,17,10,165000.0,97972.8,85882.0,xgb
58996069,7,1234.0,3,62000.0,2,11,3,88,3,450194,244.94897430000003,0,0,0,0,21,10,85789.7012195122,54000.0,47500.0,xgb
54985523,7,1223.0,3,97000.0,2,11,5,109,3,450003,187.08286930000003,0,0,0,0,7,10,117700.0,-68.4,101343.0,xgb
59001751,4,1346.0,1,102000.0,2,8,-1,100,5,60095,200.0,0,0,0,0,7,10,85789.7012195122,13392.0,35329.0,xgb
58993764,7,1277.0,3,98000.0,2,11,5,92,5,60036,1.0,0,0,0,0,2,13,85789.7012195122,0.0,53592.0,xgb
58992687,7,1286.1657435613404,3,72000.0,2,11,-1,107,4,450048,141.4213562,0,0,0,0,30,10,138600.0,92751.6,94917.0,xgb
54985176,7,1328.0,3,71000.0,2,11,5,109,5,60004,444.4738462,0,0,0,0,20,10,85789.7012195122,42976.8,38023.0,xgb
59000510,4,1338.0,1,107000.0,2,8,9,82,5,151300,1.0,0,0,0,0,13,10,85789.7012195122,-589.2,219202.72592781534,xgb
58986723,7,1322.0,3,195000.0,1,11,5,104,5,71000,173.20508080000002,0,0,0,0,24,10,85789.7012195122,7143.6,34404.0,xgb
58999688,4,1286.1657435613404,2,130000.0,2,8,5,73,5,60024,207.8605302,0,0,0,0,1,10,85789.7012195122,0.0,219202.72592781534,xgb
58988092,5,1270.0,1,114000.0,2,15,5,83,3,450058,141.4213562,0,0,0,0,36,10,85789.7012195122,36519.6,35265.0,xgb
54985569,7,1280.0,1,93000.0,2,11,-1,110,4,550000,181.6590212,0,0,0,0,23,10,71500.0,49392.0,41660.0,xgb
58996010,7,1276.0,3,136000.0,2,11,5,113,4,151304,1.0,1,0,0,12,35,10,93500.0,15812.4,24679.0,xgb
59003965,4,1286.1657435613404,2,76000.0,2,8,9,113,4,60091,158.4077018,0,0,0,0,12,10,112200.0,494.4,34147.0,xgb
58982909,5,1252.0,3,113000.0,2,15,5,85,5,60084,212.0943186,0,0,0,0,4,10,85789.7012195122,99158.4,83132.0,xgb
54989286,4,1270.0,3,162000.0,2,8,9,81,5,60019,1.0,0,0,0,0,33,13,85789.7012195122,0.0,32500.0,xgb
