id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,new_balance,highest_balance
58991158,7,1205.0,3,77000.0,2,11,-1,85,5,151300,273.86127880000004,0,0,0,0,2,0,85789.7012195122,17556.0,21400.0
59001607,4,1187.0,3,100000.0,2,8,5,102,3,60017,547.7225575,0,0,0,0,7,7,85789.7012195122,0.0,152000.0
58990611,7,1286.1657435613404,3,79000.0,2,11,-1,112,4,72000,177.0028248,0,0,0,0,2,10,85789.7012195122,9858.0,34022.0
58997773,4,1286.1657435613404,2,45000.0,2,8,5,111,4,151300,173.20508080000002,0,0,0,0,3,10,85789.7012195122,25009.2,21341.0
58997724,4,1313.0,3,134000.0,2,8,5,104,3,60054,244.94897430000003,0,0,0,0,33,10,171600.0,0.0,17117.0
59005571,4,1241.0,3,60000.0,2,8,5,107,3,151300,187.08286930000003,0,0,0,0,2,10,70400.0,7281.6,6568.0
59002746,4,1240.0,3,90000.0,2,8,5,100,3,60019,173.20508080000002,0,0,0,0,26,10,85789.7012195122,6981.6,26357.0
58993137,7,1205.0,3,63000.0,2,11,5,106,3,151300,1.0,0,0,0,0,4,6,85789.7012195122,0.0,20000.0
58994089,7,1240.0,3,79000.0,2,11,8,111,5,71003,1.0,0,0,0,0,9,10,85789.7012195122,5235.6,19197.0
58984255,5,1223.0,3,50000.0,2,15,5,89,3,151300,1.0,0,0,0,0,5,6,85789.7012195122,20136.0,34060.0
54982387,2,1349.0,1,286000.0,2,3,-1,80,3,361003,1.0,0,0,0,0,1,6,85789.7012195122,0.0,106087.0
54984058,5,1456.0,3,35000.0,2,15,5,92,5,60058,1.0,0,0,0,0,36,10,85789.7012195122,0.0,27621.0
58994340,7,1282.0,1,75000.0,2,11,5,87,5,72049,1.0,0,0,0,0,32,10,85789.7012195122,24554.4,27435.0
54984134,5,1230.0,3,35000.0,2,15,5,112,5,60057,1.0,0,0,0,0,10,5,85789.7012195122,544650.0,500500.0
54982856,5,1361.0,3,30000.0,1,15,5,110,5,60033,264.5751311,0,0,0,0,6,10,85789.7012195122,15967.2,25863.0
54986977,7,1286.1657435613404,2,77000.0,2,11,5,83,3,60000,174.93141509999998,0,0,0,0,14,6,85789.7012195122,0.0,24399.0
54983232,5,1230.0,3,72000.0,2,15,9,113,4,151304,173.20508080000002,0,0,0,0,16,10,22000.0,174.0,20168.0
54988522,7,1214.0,3,58000.0,2,11,5,110,4,151300,158.11388300000002,0,0,0,0,1,10,66000.0,682.8,1068.0
58995877,7,1277.0,3,132000.0,2,11,9,80,5,60016,1.0,0,0,0,0,2,0,85789.7012195122,1798.8,1999.0
58993992,7,1266.0,3,89000.0,2,11,5,89,3,60091,1.0,0,0,0,0,1,10,85789.7012195122,18000.0,15500.0
54984182,5,1282.0,3,144000.0,2,15,5,68,1,60057,1.0,0,0,0,0,1,5,85789.7012195122,0.0,80500.0
59003162,4,1286.1657435613404,2,50000.0,2,8,5,87,5,60033,167.934511,1,2,7,1288,26,10,85789.7012195122,0.0,89659.0
58993621,7,1272.0,3,80000.0,2,11,9,86,4,60043,1.0,0,0,0,0,8,6,85789.7012195122,8638.8,24499.0
58998275,4,1240.0,3,30000.0,2,8,5,100,5,350017,223.6067977,0,0,0,0,3,13,85789.7012195122,71864.4,66800.0
